InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Vic Roznovsky,5,455,22,99,15,1,4,38,1,.218,.281,0,128,0,1969,roznovi01
FALSE,FALSE,Jim Burns,3,727,131,222,29,11,5,111,64,.305,.396,0,288,0,1891,burnsji01
FALSE,FALSE,Buddy Rosar,13,3198,335,836,147,15,18,367,17,.261,.334,5,1067,0,1951,rosarbu01
FALSE,FALSE,Frank McGowan,5,1208,174,316,58,16,6,108,17,.262,.351,0,424,0,1937,mcgowbe01
FALSE,FALSE,Ted Scheffler,2,539,128,128,15,7,3,38,81,.237,.308,0,166,0,1890,schefte01
FALSE,FALSE,Bris Lord,8,2767,380,707,119,49,13,236,74,.256,.348,0,963,0,1913,lordbr01
FALSE,FALSE,Hugh Nicol,10,3465,631,813,91,29,5,272,383,.235,.282,0,977,0,1890,nicolhu01
FALSE,FALSE,Jimmy Ripple,7,1809,241,510,92,14,28,251,7,.282,.395,0,714,0,1943,ripplji01
FALSE,FALSE,Esteban German,10,1016,159,284,54,15,8,111,34,.280,.386,0,392,0,2011,germaes01
FALSE,FALSE,Brandon Inge,13,5014,563,1166,228,38,152,648,45,.233,.384,1,1926,0,2013,ingebr01
FALSE,FALSE,Junior Lake,4,659,65,155,36,3,17,48,16,.235,.376,0,248,0,2016,lakeju01
FALSE,FALSE,Chris Sabo,9,3354,494,898,214,17,116,426,120,.268,.445,3,1494,1,1996,saboch01
FALSE,FALSE,Fred Manrique,9,1337,151,340,59,11,20,151,18,.254,.360,0,481,0,1991,manrifr01
FALSE,FALSE,Wilin Rosario,5,1512,204,413,83,3,71,241,11,.273,.473,0,715,0,2015,rosarwi01
FALSE,FALSE,Hub Northen,3,584,76,159,29,8,3,63,14,.272,.365,0,213,0,1912,northhu01
FALSE,FALSE,Alan Strange,5,947,93,211,39,7,1,89,6,.223,.282,0,267,0,1942,stranal01
FALSE,FALSE,Ollie Pickering,8,3352,500,910,96,39,9,287,194,.271,.331,0,1111,0,1908,pickeol01
FALSE,FALSE,Haywood Sullivan,7,851,94,192,30,5,13,87,2,.226,.318,0,271,0,1963,sulliha02
FALSE,FALSE,Joey Cora,11,3734,624,1035,171,41,30,294,117,.277,.369,1,1378,0,1998,corajo01
FALSE,FALSE,Bama Rowell,6,1901,200,523,95,26,19,217,37,.275,.382,0,727,0,1948,rowelba01
FALSE,FALSE,Glenn Borgmann,9,1294,137,296,42,4,16,151,4,.229,.304,0,394,0,1980,borgmgl01
FALSE,FALSE,Marvell Wynne,8,2693,300,664,107,28,40,244,80,.247,.352,0,947,0,1990,wynnema01
FALSE,FALSE,Emmett Seery,9,3547,695,893,152,68,27,300,240,.252,.356,0,1262,0,1892,seeryem01
FALSE,FALSE,Thad Bosley,14,1581,183,430,50,12,20,158,47,.272,.357,0,564,0,1990,bosleth01
FALSE,FALSE,Darrin Fletcher,14,3902,377,1048,214,8,124,583,2,.269,.423,1,1650,0,2002,fletcda01
FALSE,FALSE,Tommie Aaron,7,944,102,216,42,6,13,94,9,.229,.327,0,309,0,1971,aaronto01
FALSE,FALSE,Howie Schultz,6,1588,163,383,85,7,24,208,15,.241,.349,0,554,0,1948,schulho01
FALSE,FALSE,Mike Carp,6,887,97,225,51,5,27,127,2,.254,.414,0,367,0,2014,carpmi01
FALSE,FALSE,Blondie Purcell,12,4563,767,1217,177,60,13,495,197,.267,.340,0,1553,0,1890,purcebl01
FALSE,FALSE,Terry Harper,8,1467,147,371,55,5,36,180,37,.253,.371,0,544,0,1987,harpete01
FALSE,FALSE,Kermit Wahl,5,642,58,145,23,6,3,50,3,.226,.294,0,189,0,1951,wahlke01
FALSE,FALSE,Juan Encarnacion,11,4685,618,1264,242,46,156,667,127,.270,.441,0,2066,0,2007,encarju01
FALSE,FALSE,Johnny Estrada,8,2079,198,576,129,0,42,285,0,.277,.400,1,831,2,2008,estrajo01
FALSE,FALSE,Rusty Greer,9,3829,643,1166,258,25,119,614,31,.305,.478,0,1831,0,2002,greerru01
FALSE,FALSE,Mark Wagner,9,843,81,205,20,9,3,71,8,.243,.299,0,252,0,1984,wagnema01
FALSE,FALSE,Alex Trevino,13,2430,245,604,117,10,23,244,19,.249,.333,0,810,0,1990,trevial01
FALSE,FALSE,J. P. Arencibia,6,1573,169,333,67,4,80,245,2,.212,.412,0,648,0,2015,arencjp01
FALSE,FALSE,Fred Stanley,14,1650,197,356,38,5,10,120,11,.216,.263,0,434,0,1982,stanlfr01
FALSE,FALSE,Kirt Manwaring,13,2982,248,733,111,20,21,278,10,.246,.318,0,947,1,1999,manwaki01
FALSE,FALSE,Koyie Hill,11,951,83,197,44,4,8,77,3,.207,.287,0,273,0,2014,hillko01
FALSE,FALSE,Chris Widger,10,1826,180,435,104,7,55,222,10,.238,.393,0,718,0,2006,widgech01
FALSE,FALSE,Darren Bragg,11,2461,341,627,145,14,46,260,56,.255,.381,0,938,0,2004,braggda01
FALSE,FALSE,Aaron Cunningham,5,452,47,99,31,3,7,51,4,.219,.347,0,157,0,2012,cunniaa01
FALSE,FALSE,Victor Diaz,4,446,62,114,25,3,24,73,6,.256,.487,0,217,0,2007,diazvi01
