InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Jack Rothrock,11,3350,498,924,162,35,28,327,75,0.27582089552238809,0.37014925373134333,0,0,0,0,0,1465,1937,1995
FALSE,FALSE,Frank Trechock,1,4,0,2,0,0,0,0,0,0.5,0.5,0,0,0,0,0,2,1937,1998
FALSE,FALSE,Link Wasem,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,2001
FALSE,FALSE,Pinky Jorgensen,1,14,1,4,0,0,0,1,0,0.2857142857142857,0.2857142857142857,0,0,0,0,0,4,1937,2007
FALSE,FALSE,Milt Gray,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,2010
FALSE,FALSE,Joe Dwyer,1,11,2,3,0,0,0,1,0,0.27272727272727271,0.27272727272727271,0,0,0,0,0,3,1937,2013
FALSE,FALSE,Hugh Alexander,1,11,0,1,0,0,0,0,1,9.0909090909090912E-2,9.0909090909090912E-2,0,0,0,0,0,1,1937,2016
FALSE,FALSE,Gus Brittain,1,6,0,1,0,0,0,0,0,0.16666666666666669,0.16666666666666669,0,0,0,0,0,1,1937,2019
FALSE,FALSE,Bob Daughters,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,2022
FALSE,FALSE,Flea Clifton,4,195,27,39,7,0,0,13,5,0.20000000000000001,0.23589743589743589,0,0,0,0,0,53,1937,2028
FALSE,FALSE,Paul Chervinko,2,75,1,11,0,1,0,5,0,0.14666666666666667,0.17333333333333331,0,0,0,0,0,14,1938,2031
FALSE,FALSE,Gene Corbett,3,108,12,13,3,0,2,10,0,0.12037037037037038,0.20370370370370369,0,0,0,0,0,27,1938,2034
FALSE,FALSE,Art Doll,3,13,0,2,0,0,0,0,0,0.15384615384615385,0.15384615384615385,0,0,0,0,0,2,1938,2037
FALSE,FALSE,Jim Asbell,1,33,6,6,2,0,0,3,0,0.18181818181818182,0.24242424242424243,0,0,0,0,0,10,1938,2040
FALSE,FALSE,Woody English,12,4746,801,1356,236,52,32,422,57,0.2857142857142857,0.3775811209439528,1,0,0,0,0,2112,1938,2043
FALSE,FALSE,Mule Haas,12,4303,706,1257,254,45,43,496,12,0.29212177550546131,0.40204508482454104,0,0,0,0,0,2072,1938,2046
FALSE,FALSE,Buck Jordan,10,2980,396,890,153,35,17,281,20,0.29865771812080538,0.39060402684563755,0,0,0,0,0,1369,1938,2049
FALSE,FALSE,Tommy Irwin,1,9,1,1,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0,0,0,0,0,1,1938,2052
FALSE,FALSE,Gene Hasson,2,167,22,49,12,5,4,26,0,0.29341317365269465,0.49700598802395207,0,0,0,0,0,104,1938,2055
FALSE,FALSE,Joe Walsh,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,2058
FALSE,FALSE,Butch Sutcliffe,1,4,1,1,0,0,0,2,0,0.25,0.25,0,0,0,0,0,1,1938,2061
FALSE,FALSE,Ray Stoviak,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,2064
FALSE,FALSE,Blondy Ryan,6,1330,127,318,36,13,8,133,6,0.23909774436090225,0.30375939849624056,0,0,0,0,0,461,1938,2067
FALSE,FALSE,Stan Sperry,2,290,30,74,9,3,0,31,1,0.25517241379310346,0.30689655172413793,0,0,0,0,0,101,1938,2070
FALSE,FALSE,Jesse Landrum,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1938,2073
FALSE,FALSE,George Meyer,1,81,10,24,2,2,0,9,3,0.29629629629629628,0.37037037037037035,0,0,0,0,0,34,1938,2076
FALSE,FALSE,Ace Parker,2,207,20,37,5,1,2,25,1,0.17874396135265699,0.24154589371980678,0,0,0,0,0,58,1938,2079
FALSE,FALSE,Hal Quick,1,41,3,10,1,0,0,2,1,0.24390243902439024,0.26829268292682928,0,0,0,0,0,12,1939,2082
FALSE,FALSE,Art Parks,2,255,29,70,15,2,1,19,2,0.2745098039215686,0.36078431372549019,0,0,0,0,0,110,1939,2085
FALSE,FALSE,Bob Neighbors,1,11,3,2,0,0,1,1,0,0.18181818181818182,0.45454545454545453,0,0,0,0,0,6,1939,2088
