InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,B,B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Bo Jackson,8,2393,341,598,2,3,141,415,82,0.249895528625157,0.47430004178855,1,0,0,0,0,1376,1994,5638
FALSE,TRUE,Kent Hrbek,14,6192,903,1749,2,3,293,1086,37,0.282461240310078,0.48062015503876,1,0,0,0,0,3599,1994,5639
FALSE,FALSE,Chris Howard,3,32,3,6,2,3,0,2,0,0.1875,0.25,0,0,0,0,0,10,1994,5641
FALSE,FALSE,Jim Lindeman,9,676,82,165,2,3,21,89,4,0.244082840236686,0.390532544378698,0,0,0,0,0,320,1994,5642
FALSE,TRUE,Dave Henderson,14,5130,710,1324,2,3,197,708,50,0.258089668615984,0.435672514619883,1,0,0,0,0,2735,1994,5644
FALSE,FALSE,Jeff Gardner,4,492,60,121,2,3,1,26,2,0.245934959349594,0.327235772357724,0,0,0,0,0,191,1994,5645
FALSE,FALSE,Mike Felder,10,2262,318,564,2,3,14,173,161,0.249336870026525,0.322281167108753,0,0,0,0,0,834,1994,5647
FALSE,FALSE,Brian Turang,2,252,31,56,2,3,1,15,9,0.222222222222222,0.313492063492063,0,0,0,0,0,98,1994,5648
FALSE,FALSE,Jeff Tackett,4,327,35,71,2,3,7,42,0,0.217125382262997,0.336391437308869,0,0,0,0,0,133,1994,5650
FALSE,FALSE,Dave Staton,2,108,13,23,2,3,9,15,0,0.212962962962963,0.509259259259259,0,0,0,0,0,69,1994,5651
FALSE,FALSE,Cory Snyder,9,3656,439,902,2,3,149,488,28,0.24671772428884,0.424781181619256,0,0,0,0,0,1893,1994,5653
FALSE,FALSE,Jerry Willard,8,783,82,195,2,3,25,114,1,0.24904214559387,0.384418901660281,0,0,0,0,0,356,1994,5654
FALSE,FALSE,Rick Wrona,6,168,16,41,2,3,3,18,1,0.244047619047619,0.345238095238095,0,0,0,0,0,68,1994,5656
FALSE,FALSE,Gerald Young,8,1815,259,446,2,3,3,113,155,0.245730027548209,0.303581267217631,0,0,0,0,0,631,1994,5657
FALSE,FALSE,Bob Zupcic,4,795,99,199,2,3,7,80,7,0.250314465408805,0.345911949685535,0,0,0,0,0,333,1994,5659
FALSE,TRUE,Willie Wilson,19,7731,1169,2207,2,3,41,585,668,0.285474065450783,0.375759927564351,2,0,0,1,0,3374,1994,5660
FALSE,FALSE,Quinn Mack,1,21,1,5,2,3,0,2,2,0.238095238095238,0.380952380952381,0,0,0,0,0,11,1994,5662
FALSE,FALSE,Mike Maksudian,3,41,8,9,2,3,0,6,0,0.219512195121951,0.292682926829268,0,0,0,0,0,15,1994,5663
